Algorithm,Operation,Avg(us),Min(us),Max(us),StdDev(us),Throughput(ops/sec),Size(bytes),Notes
ML-KEM-768,KeyGen,161.000,0.000,3000.000,406.299,6211,3584,NIST Level 3
ML-KEM-768,Encapsulate,151.000,0.000,2000.000,382.360,6623,1088,Creates shared secret
ML-KEM-768,Decapsulate,53.000,0.000,2000.000,237.046,18868,1088,Extracts shared secret
ML-KEM-768,Handshake,365.000,0,0,0,2740,2272,Complete key exchange
ML-DSA-65,KeyGen,0.000,0.000,5000.000,505.742,0,5984,NIST Level 3
ML-DSA-65,Sign,773.000,0.000,22000.000,982.584,1294,3309,Variable message size
ML-DSA-65,Verify,170.000,0.000,2000.000,398.873,5882,3309,Variable message size
ML-DSA-65,RoundTrip,943.000,0,0,0,1060,3317,Sign + Verify
HMAC-SHA256,Generate,0.000,0.000,0.000,0.000,0,32,Classical baseline
HMAC-SHA256,Verify,0.000,0.000,0.000,0.000,0,32,Classical baseline
