scenario,attacks_injected,attacks_detected,attacks_delivered,detection_rate_pct
attacks_aggregate_hmac,697,503,197,71.86
attacks_aggregate_pqc,31306,697,3,99.57
attacks_downgrade_hmac_hmac,100,0,100,0.00
attacks_downgrade_hmac_pqc,5200,100,0,100.00
attacks_freshness_rollback_hmac,100,100,0,100.00
attacks_freshness_rollback_pqc,5200,100,0,100.00
attacks_mitm_key_confuse_hmac,100,100,0,100.00
attacks_mitm_key_confuse_pqc,5200,100,0,100.00
attacks_replay_hmac,97,3,97,3.00
attacks_replay_pqc,106,97,3,97.00
attacks_sig_fuzz_hmac,100,100,0,100.00
attacks_sig_fuzz_pqc,5200,100,0,100.00
attacks_tamper_auth_hmac,100,100,0,100.00
attacks_tamper_auth_pqc,5200,100,0,100.00
attacks_tamper_payload_hmac,100,100,0,100.00
attacks_tamper_payload_pqc,5200,100,0,100.00
baseline_hmac_r1,0,0,0,0.00
baseline_hybrid_r1,0,0,0,0.00
baseline_pqc_r1,0,0,0,0.00
mixed_bus_can,0,0,0,0.00
mixed_bus_eth,0,0,0,0.00
rekey_r1,0,0,0,0.00
tput_hmac_canfd_r1,0,0,0,0.00
tput_pqc_eth1000_r1,0,0,0,0.00
tput_pqc_eth100_r1,0,0,0,0.00
